Description,code_type,code_new
CD - CROHN'S DISEASE,ctv3,ct_YaQwO
CHRONIC ULCERATIVE PROCTITIS,conceptid,co_52231000
CHRONIC ULCERATIVE RECTOSIGMOIDITIS,conceptid,co_52506002
CROHN'S - TERMINAL ILEUM,ctv3,ct_Y30A4
CROHN'S COLITIS,aurmedcode,au_601031000006119
CROHN'S COLITIS,conceptid,co_196982002
CROHN'S COLITIS,conceptid,co_50440006
CROHN'S COLITIS,ctv3,ct_Y30CW
CROHN'S COLITIS,medcode,me_6538
CROHN'S COLITIS,readv2_5,re_J401z
CROHN'S COLITIS,readv2_7,re_J401z11
CROHN'S DIS. LARGE BOWEL NOS,ctv3,ct_Y30G3
CROHN'S DIS. SMALL BOWEL NOS,ctv3,ct_Y30G9
CROHN'S DISEASE,aurmedcode,au_56765016
CROHN'S DISEASE,conceptid,co_34000006
CROHN'S DISEASE,ctv3,ct_Y30Fz
CROHN'S DISEASE,medcode,me_593
CROHN'S DISEASE,readv2_5,re_J40..
CROHN'S DISEASE,readv2_7,re_J40..11
CROHN'S DISEASE NOS,aurmedcode,au_1222351011
CROHN'S DISEASE NOS,conceptid,co_196984001
CROHN'S DISEASE NOS,ctv3,ct_Yakhi
CROHN'S DISEASE NOS,medcode,me_59994
CROHN'S DISEASE NOS,readv2_5,re_J40z.
CROHN'S DISEASE NOS,readv2_7,re_J40z.11
CROHN'S DISEASE OF DUODENUM,conceptid,co_56287005
CROHN'S DISEASE OF ILEUM,conceptid,co_38106008
CROHN'S DISEASE OF LARGE BOWEL,conceptid,co_7620006
CROHN'S DISEASE OF RECTUM,conceptid,co_3815005
CROHN'S DISEASE OF SMALL INTESTINE,conceptid,co_56689002
CROHN'S DISEASE OF TERMINAL ILEUM,conceptid,co_196977009
CROHN'S DISEASE OF THE ILEUM NOS,aurmedcode,au_302940016
CROHN'S DISEASE OF THE ILEUM NOS,conceptid,co_196979007
CROHN'S DISEASE OF THE ILEUM NOS,medcode,me_39278
CROHN'S DISEASE OF THE ILEUM NOS,readv2_5,re_J4004
CROHN'S DISEASE OF THE ILEUM NOS,readv2_7,re_J400400
CROHN'S DISEASE OF THE ILEUM UNSPECIFIED,aurmedcode,au_302939018
CROHN'S DISEASE OF THE ILEUM UNSPECIFIED,conceptid,co_196978004
CROHN'S DISEASE OF THE ILEUM UNSPECIFIED,medcode,me_66238
CROHN'S DISEASE OF THE ILEUM UNSPECIFIED,readv2_5,re_J4003
CROHN'S DISEASE OF THE ILEUM UNSPECIFIED,readv2_7,re_J400300
CROHN'S DISEASE OF THE LARGE BOWEL NOS,aurmedcode,au_396357012
CROHN'S DISEASE OF THE LARGE BOWEL NOS,conceptid,co_266446008
CROHN'S DISEASE OF THE LARGE BOWEL NOS,medcode,me_20688
CROHN'S DISEASE OF THE LARGE BOWEL NOS,readv2_7,re_J401z00
CROHN'S DISEASE OF THE SMALL BOWEL NOS,aurmedcode,au_302941017
CROHN'S DISEASE OF THE SMALL BOWEL NOS,conceptid,co_196980005
