Description,code_type,code_new
,medcode,me_74496
,medcode,me_74539
,medcode,me_74848
,medcode,me_75354
,medcode,me_75550
,medcode,me_75673
,medcode,me_76394
,medcode,me_77740
,medcode,me_79977
,medcode,me_82043
,medcode,me_82405
,medcode,me_83017
,medcode,me_83963
,medcode,me_84227
,medcode,me_88061
,medcode,me_88070
,medcode,me_88195
,medcode,me_90208
,medcode,me_90899
ACUTE DU + H'GE + PERFORATION,ctv3,ct_Y306v
ACUTE DU + HAEMORRHAGE,ctv3,ct_Y30bg
ACUTE DU + NO COMPLICATION,ctv3,ct_Y306w
ACUTE DU + OBSTRUCTION,ctv3,ct_Y306u
ACUTE DU + PERFORATION,ctv3,ct_Y307e
ACUTE DU UNSPECIFIED,ctv3,ct_Y306t
ACUTE DUODENAL ULCER,aurmedcode,au_302502012
ACUTE DUODENAL ULCER,conceptid,co_196652006
ACUTE DUODENAL ULCER,ctv3,ct_Y306r
ACUTE DUODENAL ULCER,medcode,me_18027
ACUTE DUODENAL ULCER,readv2_5,re_J120.
ACUTE DUODENAL ULCER,readv2_7,re_J120.00
ACUTE DUODENAL ULCER NOS,aurmedcode,au_302513010
ACUTE DUODENAL ULCER NOS,conceptid,co_155695007
ACUTE DUODENAL ULCER NOS,conceptid,co_196660007
ACUTE DUODENAL ULCER NOS,ctv3,ct_Y306s
ACUTE DUODENAL ULCER NOS,medcode,me_53797
ACUTE DUODENAL ULCER NOS,readv2_5,re_J120z
ACUTE DUODENAL ULCER NOS,readv2_7,re_J120z00
ACUTE DUODENAL ULCER UNSPECIFIED,aurmedcode,au_302512017
ACUTE DUODENAL ULCER UNSPECIFIED,conceptid,co_196659002
ACUTE DUODENAL ULCER UNSPECIFIED,medcode,me_53822
ACUTE DUODENAL ULCER UNSPECIFIED,readv2_5,re_J120y
ACUTE DUODENAL ULCER UNSPECIFIED,readv2_7,re_J120y00
ACUTE DUODENAL ULCER WITH HAEMORRHAGE,aurmedcode,au_474430017
ACUTE DUODENAL ULCER WITH HAEMORRHAGE,conceptid,co_12847006
ACUTE DUODENAL ULCER WITH HAEMORRHAGE,conceptid,co_155692005
ACUTE DUODENAL ULCER WITH HAEMORRHAGE,medcode,me_18001
ACUTE DUODENAL ULCER WITH HAEMORRHAGE,readv2_5,re_J1201
ACUTE DUODENAL ULCER WITH HAEMORRHAGE,readv2_7,re_J120100
ACUTE DUODENAL ULCER WITH HAEMORRHAGE AND PERFORATION,aurmedcode,au_507303017
ACUTE DUODENAL ULCER WITH HAEMORRHAGE AND PERFORATION,conceptid,co_86895006
ACUTE DUODENAL ULCER WITH HAEMORRHAGE AND PERFORATION,medcode,me_48730
ACUTE DUODENAL ULCER WITH HAEMORRHAGE AND PERFORATION,readv2_5,re_J1203
ACUTE DUODENAL ULCER WITH HAEMORRHAGE AND PERFORATION,readv2_7,re_J120300
ACUTE DUODENAL ULCER WITH OBSTRUCTION,aurmedcode,au_302511012
ACUTE DUODENAL ULCER WITH OBSTRUCTION,conceptid,co_196658005
ACUTE DUODENAL ULCER WITH OBSTRUCTION,medcode,me_73417
ACUTE DUODENAL ULCER WITH OBSTRUCTION,readv2_5,re_J1204
ACUTE DUODENAL ULCER WITH OBSTRUCTION,readv2_7,re_J120400
ACUTE DUODENAL ULCER WITH PERFORATION,aurmedcode,au_101926016
ACUTE DUODENAL ULCER WITH PERFORATION,conceptid,co_196656009
ACUTE DUODENAL ULCER WITH PERFORATION,conceptid,co_61347001
ACUTE DUODENAL ULCER WITH PERFORATION,medcode,me_18324
ACUTE DUODENAL ULCER WITH PERFORATION,readv2_5,re_J1202
ACUTE DUODENAL ULCER WITH PERFORATION,readv2_7,re_J120200
ACUTE DUODENAL ULCER WITHOUT MENTION OF COMPLICATION,aurmedcode,au_302504013
ACUTE DUODENAL ULCER WITHOUT MENTION OF COMPLICATION,conceptid,co_196653001
ACUTE DUODENAL ULCER WITHOUT MENTION OF COMPLICATION,medcode,me_44335
ACUTE DUODENAL ULCER WITHOUT MENTION OF COMPLICATION,readv2_5,re_J1200
ACUTE DUODENAL ULCER WITHOUT MENTION OF COMPLICATION,readv2_7,re_J120000
ACUTE GASTRIC ULCER,aurmedcode,au_158227015
ACUTE GASTRIC ULCER,conceptid,co_95529005
ACUTE GASTRIC ULCER,ctv3,ct_Y303f
ACUTE GASTRIC ULCER,medcode,me_24040
ACUTE GASTRIC ULCER,readv2_5,re_J110.
ACUTE GASTRIC ULCER,readv2_7,re_J110.00
ACUTE GASTRIC ULCER NOS,aurmedcode,au_302472011
ACUTE GASTRIC ULCER NOS,conceptid,co_155685000
ACUTE GASTRIC ULCER NOS,conceptid,co_196634006
ACUTE GASTRIC ULCER NOS,ctv3,ct_Y303g
ACUTE GASTRIC ULCER NOS,medcode,me_44324
