"medcodeid","term"
"1942831000006114","eGFR (estimated glomerular filtration rate) using creatinine Chronic Kidney Disease Epidemiology Collaboration equation per 1.73 square metres"
"1942821000006111","eGFR (estimated glomerular filtration rate) using cystatin C Chronic Kidney Disease Epidemiology Collaboration equation per 1.73 square metres"
"1540241000006111","GFR (glomerular filtration rate) calculated by abbreviated Modification of Diet in Renal Disease Study Group calculation adjusted for African American origin"
"976481000006110","GFR (glomerular filtration rate) calculated by abbreviated Modification of Diet in Renal Disease Study Group calculation"
"8352981000006116","eGFR (estimated glomerular filtration rate) using creatinine CKD-EPI (Chronic Kidney Disease Epidemiology Collaboration) equation"
"8352951000006112","eGFR (estimated glomerular filtration rate) using cystatin C CKD-EPI (Chronic Kidney Disease Epidemiology Collaboration) equation"
"8294821000006118","eGFR (estimated glomerular filtration rate) using CKD-Epi (Chronic Kidney Disease Epidemiology Collaboration) formula"
"12621931000006112","eGFR (estimated glomerular filtration rate) by laboratory calculation"
"12491261000006120","eGFR (estimated glomerular filtration rate) using CKD-Epi (Chronic Kidney Disease Epidemiology Collaboration) formula per 1.73 square metres"
"1866321000006117","Estimated glomerular filtration rate using Chronic Kidney Disease Epidemiology Collaboration formula"
"8050441000006118","Glomerular filtration rate calculated by abbreviated Modification of Diet in Renal Disease Study Group calculation"
"8069731000006118","Glomerular filtration rate calculated by abbreviated Modification of Diet in Renal Disease Study Group calculation adjusted for African American origin"
"8352971000006119","Estimated glomerular filtration rate using creatinine Chronic Kidney Disease Epidemiology Collaboration equation"
"8352941000006110","Estimated glomerular filtration rate using cystatin C Chronic Kidney Disease Epidemiology Collaboration equation"
"8294801000006111","Estimated glomerular filtration rate using Chronic Kidney Disease Epidemiology Collaboration formula"
"8250311000006118","Estimation of glomerular filtration rate"
"12621921000006110","Estimated glomerular filtration rate by laboratory calculation"
