"au_medcodeid","term","group_16_num","group_16","group_6_num","group_6","medcodeid"
"au_141391000000115","african - ethnic category 2001 census","13","african","4","black","141391000000115"
"au_250223019","african origin","13","african","4","black","250223019"
"au_1968531000006115","african: african/african scot/african brit - scotland 2011","13","african","4","black","1968531000006115"
"au_1968541000006113","african: any other african - scotland ethnic cat 2011 census","13","african","4","black","1968541000006113"
"au_138231000000116","albanian - ethnic category 2001 census","3","other white","1","white","138231000000116"
"au_142901000000119","any other group - ethnic category 2001 census","16","other","5","chinese and other","142901000000119"
"au_138251000000111","arab - ethnic category 2001 census","16","other","5","chinese and other","138251000000111"
"au_158361000000116","asian and chinese - ethnic category 2001 census","7","other mixed","2","mixed","158361000000116"
"au_1968301000006118","asian or asian british: indian - ni ethnic cat 2011 census","8","indian","3","south asian","1968301000006118"
"au_250224013","asian origin","11","other south asian","3","south asian","250224013"
"au_1968151000006117","asian/asian brit: bangladeshi- eng+wales eth cat 2011 census","10","bangladeshi","3","south asian","1968151000006117"
"au_1968161000006115","asian/asian brit: chinese - eng+wales ethnic cat 2011 census","15","chinese","5","chinese and other","1968161000006115"
"au_1968131000006112","asian/asian brit: indian - eng+wales ethnic cat 2011 census","8","indian","3","south asian","1968131000006112"
"au_1968171000006110","asian/asian brit: other asian- eng+wales eth cat 2011 census","11","other south asian","3","south asian","1968171000006110"
"au_1968321000006111","asian/asian british: bangladeshi - ni ethnic cat 2011 census","10","bangladeshi","3","south asian","1968321000006111"
"au_1968331000006114","asian/asian british: chinese - ni ethnic cat 2011 census","15","chinese","5","chinese and other","1968331000006114"
"au_1968341000006116","asian/asian british: other asian - ni ethnic cat 2011 census","11","other south asian","3","south asian","1968341000006116"
"au_1968311000006115","asian/asian british: pakistani - ni ethnic cat 2011 census","9","pakistani","3","south asian","1968311000006115"
"au_1968141000006119","asian/asian british:pakistani- eng+wales eth cat 2011 census","9","pakistani","3","south asian","1968141000006119"
"au_1968511000006114","asian: chinese - scotland ethnic category 2011 census","15","chinese","5","chinese and other","1968511000006114"
"au_1968491000006115","asian: indian, indian scot/indian brit- scotland 2011 census","8","indian","3","south asian","1968491000006115"
"au_1968521000006118","asian: other asian group - scotland ethnic cat 2011 census","11","other south asian","3","south asian","1968521000006118"
"au_1968481000006118","asian: pakistani/pakistani scot/pakistani brit- scot 2011","9","pakistani","3","south asian","1968481000006118"
"au_937301000006110","baltic estonian/latvian/lithuanian - ethn categ 2001 census","3","other white","1","white","937301000006110"
"au_1564291000006119","bangladeshi","10","bangladeshi","3","south asian","1564291000006119"
"au_285956019","bangladeshi","10","bangladeshi","3","south asian","285956019"
"au_937541000006115","bangladeshi or british bangladeshi - ethn categ 2001 census","10","bangladeshi","3","south asian","937541000006115"
"au_1968501000006111","bangladeshi, bangladeshi scot or bangladeshi brit- scot 2011","10","bangladeshi","3","south asian","1968501000006111"
"au_459730016","black - ethnic group","14","other black","4","black","459730016"
"au_285943014","black - other african country","14","other black","4","black","285943014"
"au_285949013","black - other asian","14","other black","4","black","285949013"
"au_285951012","black - other, mixed","7","other mixed","2","mixed","285951012"
"au_30683015","black african","13","african","4","black","30683015"
"au_460154012","black african and white","5","white and african","2","mixed","460154012"
"au_141471000000113","black and asian - ethnic category 2001 census","7","other mixed","2","mixed","141471000000113"
"au_141481000000110","black and chinese - ethnic category 2001 census","7","other mixed","2","mixed","141481000000110"
"au_157291000000115","black and white - ethnic category 2001 census","7","other mixed","2","mixed","157291000000115"
"au_411574019","black arab","14","other black","4","black","411574019"
"au_285950013","black black - other","14","other black","4","black","285950013"
"au_285932018","black british","14","other black","4","black","285932018"
"au_157311000000119","black british - ethnic category 2001 census","14","other black","4","black","157311000000119"
"au_285930014","black caribbean","12","carribean","4","black","285930014"
"au_514611000006111","black caribbean","12","carribean","4","black","514611000006111"
"au_460153018","black caribbean and white","4","white and carribean","2","mixed","460153018"
"au_405064011","black caribbean/w.i./guyana","12","carribean","4","black","405064011"
"au_5516681000006114","black caribbean/west india/guyana","12","carribean","4","black","5516681000006114"
"au_514651000006112","black e afric asia/indo-caribb","14","other black","4","black","514651000006112"
"au_411576017","black east african asian","14","other black","4","black","411576017"
"au_453110019","black guyana","14","other black","4","black","453110019"
"au_285948017","black indian sub-continent","14","other black","4","black","285948017"
"au_411577014","black indo-caribbean","14","other black","4","black","411577014"
"au_411575018","black iranian","14","other black","4","black","411575018"
"au_405065012","black n african/arab/iranian","14","other black","4","black","405065012"
"au_411573013","black north african","13","african","4","black","411573013"
"au_453109012","black west indian","12","carribean","4","black","453109012"
"au_285931013","black, other, non-mixed origin","14","other black","4","black","285931013"
"au_1968351000006119","black/afri/carib/black brit: african- ni eth cat 2011 census","14","other black","4","black","1968351000006119"
"au_1968361000006117","black/afri/carib/black brit: caribbean- ni eth cat 2011 cens","14","other black","4","black","1968361000006117"
"au_1968181000006113","black/african/carib/black brit: african- eng+wales 2011 cens","14","other black","4","black","1968181000006113"
