"medcodeid","term"
"5527191000006114","Systolic blood pressure"
"5295021000006119","Non-invasive systolic arterial pressure"
"3676271000006117","Systolic blood pressure"
"2616361000000114","Non-invasive central systolic blood pressure"
"2418961000000111","Baseline systolic blood pressure"
"1928511000006116","Baseline systolic blood pressure"
"1808041000006110","Systolic blood pressure - right arm"
"1808011000006111","Systolic blood pressure - left arm"
"114311000006111","Systolic arterial pressure"
"2159157015","Lying systolic blood pressure"
"2159155011","Sitting systolic blood pressure"
"1780182014","Standing systolic blood pressure"
"458812014","Average 24 hour systolic blood pressure"
"458809011","Average day interval systolic blood pressure"
"458808015","Average night interval systolic blood pressure"
"458803012","Average systolic blood pressure"
